Country Name,Country Code,Series Name,Series Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1.54524E+12,1.6849E+12,1.87341E+12,2.08183E+12,2.3516E+12,2.62733E+12,2.85731E+12,3.20704E+12,3.34379E+12,3.63404E+12,4.03761E+12,4.33898E+12,4.57963E+12,4.85522E+12,5.23644E+12,5.64158E+12,5.96314E+12,6.15813E+12,6.52033E+12,6.85856E+12,7.28724E+12,7.63975E+12,8.07312E+12,8.57755E+12,9.06282E+12,9.63117E+12,1.02509E+13,1.05819E+13,1.09291E+13,1.14564E+13,1.22172E+13,1.30392E+13,1.38156E+13,1.44742E+13,1.47699E+13,1.44781E+13,1.5049E+13,1.55997E+13,1.6254E+13,1.68432E+13,1.75507E+13,1.8206E+13,1.86951E+13,1.94773E+13,2.05331E+13,2.1381E+13,2.10605E+13,2.33151E+13,2.54397E+13,..
United States,USA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,1620000000,11420000000,8410000000,8360000000,8870000000,16670000000,2300000000,-15570000000,-13456000000,-2730000000,-12410000000,-5950000000,-11422000000,-23438000000,-35209000000,-24800000000,-11290000000,14720000000,28460000000,32570000000,34050000000,40980000000,5360000000,-770000000,-36390000000,-64964000000,-1.62755E+11,-26455000000,67930000000,78112000000,1.60363E+11,-89753000000,-14662000000,1.77277E+11,2491000000,1.51514E+11,85789000000,1.73119E+11,1.26895E+11,1.04665E+11,1.35673E+11,-2.09363E+11,-1.74573E+11,28590000000,-3.45435E+11,-2.01057E+11,1.48299E+11,-99015000000,38173000000,..
United States,USA,Gross capital formation (current US$),NE.GDI.TOTL.CD,3.50692E+11,3.41656E+11,4.1287E+11,4.89776E+11,5.83944E+11,6.59753E+11,6.66046E+11,7.78569E+11,7.37977E+11,8.08682E+11,1.01327E+12,1.04953E+12,1.08723E+12,1.14681E+12,1.19536E+12,1.27013E+12,1.28382E+12,1.23844E+12,1.30912E+12,1.39871E+12,1.55066E+12,1.62518E+12,1.75201E+12,1.92221E+12,2.08067E+12,2.25554E+12,2.42726E+12,2.34673E+12,2.37409E+12,2.49128E+12,2.76746E+12,3.04801E+12,3.25185E+12,3.26504E+12,3.10721E+12,2.57257E+12,2.80998E+12,2.96918E+12,3.24279E+12,3.44016E+12,3.68031E+12,3.91791E+12,3.92796E+12,4.14909E+12,4.45542E+12,4.66737E+12,4.56482E+12,5.04303E+12,5.63341E+12,..
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.784728502,1.163193726,1.724202539,2.271673294,4.862780635,9.237088297,16.41935296,21.61640097,30.09319659,35.84872446,43.07916264,49.08083159,58.78540388,61.69711712,64.75825648,67.96805292,68.93119327,75,74,71,71.69,69.72946076,74.7,71.4,73,74.55420245,85.54442129,87.27488917,88.49890317,89.43028486,90.62047017,91.75320833,..,..
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.95609756,72.60487805,72.85609756,73.25609756,73.35609756,73.80487805,73.6097561,74.0097561,74.36097561,74.46341463,74.56341463,74.56341463,74.61463415,74.76585366,74.76585366,75.01707317,75.21463415,75.36585366,75.61707317,75.4195122,75.6195122,75.62195122,76.02682927,76.42926829,76.5804878,76.58292683,76.63658537,76.83658537,76.93658537,77.03658537,77.48780488,77.48780488,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,76.9804878,76.32926829,..,..
United States,USA,"Population, total",SP.POP.TOTL,213854000,215973000,218035000,220239000,222585000,225055000,227225000,229466000,231664000,233792000,235825000,237924000,240133000,242289000,244499000,246819000,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557,..
United States,USA,"Primary education, pupils",SE.PRM.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24538372,24785698,25019052,25123678,24957956,24786460,24465918,23913326,..,..
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.8,7.5,6.9,6.12,5.65,5.45,5,4.51,4.22,3.99,4.73,5.78,5.99,5.53,5.08,4.62,4.62,5.78,9.25,9.63,8.95,8.07,7.37,6.17,5.28,4.87,4.36,3.9,3.67,8.05,5.35,3.65,3.648
United States,USA,Gross domestic savings (current US$),NY.GDS.TOTL.CD,3.49877E+11,3.57632E+11,4.11239E+11,4.66682E+11,5.58577E+11,6.37208E+11,6.5299E+11,7.66049E+11,7.18003E+11,7.5704E+11,9.10545E+11,9.35509E+11,9.55364E+11,1.00204E+12,1.08597E+12,1.18339E+12,1.20596E+12,1.20982E+12,1.27439E+12,1.33354E+12,1.45817E+12,1.53542E+12,1.65564E+12,1.82024E+12,1.91796E+12,1.99599E+12,2.04618E+12,1.96998E+12,1.93435E+12,1.96931E+12,2.13331E+12,2.30811E+12,2.4654E+12,2.5291E+12,2.36633E+12,2.15342E+12,2.27766E+12,2.38956E+12,2.69117E+12,2.92421E+12,3.11395E+12,3.30459E+12,3.31489E+12,3.471E+12,3.73888E+12,3.94845E+12,3.67595E+12,3.90585E+12,4.35788E+12,..
