Year,gdp_pc,pop_growth,gross_cap_growth,life_exp_pc,for_dir_pc,unemp_chng,internet_chng,savings_pc,gdp,pop,gross_cap_form,life_exp,for_dir_inv,unemployment,internet_use,gross_dom_sav
2006,0.0578381835621933,0.00964253917136304,0.0647351465015831,0.00257772611370921,1.81180234019219,-0.0949165564967434,0.0140689678539206,0.0659250583131872,1.38156e+13,298379912,3.25185e+12,77.68780488,-1.4662e+10,-3.07477548089444,-0.371916316229905,2.4654e+12
2007,0.046569365743327,0.0095105524277237,0.00404794864140001,0.00385417306961067,49.3095042677273,0,0.0843675682233585,0.0255094420914865,1.44742e+13,301231207,3.26504e+12,77.98780488,1.77277e+11,-3.07477548089444,-0.287548748006546,2.5291e+12
2008,0.0202235718108561,0.00945865287282643,-0.0495467963605876,0.000656547493524506,-4.26502924475302,0.224008977590639,-0.0134212187721699,-0.0665232764877288,1.47699e+13,304093966,3.10721e+12,78.03902439,2.491e+09,-2.85076650330381,-0.300969966778716,2.36633e+12
2009,-0.0199541631612092,0.00876651298802855,-0.188819818201097,0.00449046529480235,4.10799379364083,0.470219868840048,-0.0413795070153729,-0.0942829557445393,1.44781e+13,306771529,2.57257e+12,78.3902439,1.51514e+11,-2.38054663446376,-0.342349473794089,2.15342e+12
2010,0.0386743809261283,0.00829616674709754,0.0882719666423917,0.00192720208549169,-0.568787236774146,0.0402596742857004,0.00967003541157246,0.0560913241596985,1.5049e+13,309327143,2.80998e+12,78.54146341,8.5789e+10,-2.34028696017806,-0.332679438382517,2.27766e+12
2011,0.0359401394967627,0.00726786704810678,0.0551084545348672,0.00127240299585818,0.702088426154592,-0.0732296935232704,-0.027724438535941,0.0479606484222472,1.55997e+13,311583481,2.96918e+12,78.64146341,1.73119e+11,-2.41351665370133,-0.360403876918458,2.38956e+12
2012,0.0410873490296666,0.00733599941250773,0.0881482499544113,0.00127078604367092,-0.310619246460455,-0.103500050004906,0.0688476429180763,0.118866794714393,1.6254e+13,313877662,3.24279e+12,78.74146341,1.26895e+11,-2.51701670370623,-0.291556234000382,2.69117e+12
2013,0.0356079821839117,0.00692860276624785,0.0590839115596999,0,-0.192595199294384,-0.0907357760806127,-0.0451760364266912,0.0830483154432429,1.68432e+13,316059947,3.44016e+12,78.74146341,1.04665e+11,-2.60775247978685,-0.336732270427073,2.92421e+12
2014,0.0411468206414085,0.00733361519937148,0.0674790058317747,0.00126917319586983,0.259482805185066,-0.177718868283949,0.0221585025069757,0.0628676580298695,1.75507e+13,318386329,3.68031e+12,78.84146341,1.35673e+11,-2.7854713480708,-0.314573767920097,3.11395e+12
2015,0.0366573749267651,0.00736217308825715,0.0625613605916335,-0.00191986183645376,-51.7008488401284,-0.155772740199126,0.0210641140525336,0.0594203943813696,1.8206e+13,320738994,3.91791e+12,78.6902439,-2.09363e+11,-2.94124408826992,-0.293509653867563,3.30459e+12
2016,0.0265102473554784,0.00724676067451213,0.00256185878599169,-0.00192355479703554,0.181726595231645,-0.0808321606236717,0.137492147653748,0.00311202943818145,1.86951e+13,323071755,3.92796e+12,78.53902439,-1.74573e+11,-3.02207624889359,-0.156017506213815,3.31489e+12
2017,0.0409882274733349,0.0063264399508256,0.0547688259484502,0,49.9619316724994,-0.110621879733555,0.0200246772531356,0.0460182962961468,1.94773e+13,325122128,4.14909e+12,78.53902439,2.859e+10,-3.13269812862715,-0.13599282896068,3.471e+12
2018,0.052788533258525,0.00526435395564207,0.0712322994839063,0.00127244248505143,-50.6443931725951,-0.111495504225342,0.0139257907175124,0.07434336445748,2.05331e+13,326838199,4.45542e+12,78.63902439,-3.45435e+11,-3.24419363285249,-0.122067038243167,3.73888e+12
2019,0.0404644590174073,0.00455381285963341,0.0464744113032687,0.00189015474662568,0.541216042421262,-0.060784891069122,0.0104680465852366,0.0545369955015964,2.1381e+13,328329953,4.66737e+12,78.78780488,-2.01057e+11,-3.30497852392161,-0.111598991657931,3.94845e+12
2020,-0.0151034290734344,0.00964347900193374,-0.0222166610561452,-0.0232062399347575,51.7493506298725,0.785480429363993,0.0132192775196083,-0.0715114941788144,2.10605e+13,331511512,4.56482e+12,76.9804878,1.48299e+11,-2.51949809455762,-0.0983797141383223,3.67595e+12
2021,0.101701971220958,0.00156747054750284,0.0996280090964099,-0.00849552492105765,-51.0410335337345,-0.408575530522556,0.0124209647236642,0.0606638265994235,2.33151e+13,332031554,5.04303e+12,76.32926829,-9.9015e+10,-2.92807362508018,-0.0859587494146581,3.90585e+12
